segment,kind,frame,yunet_n,yunet_score,yunet_fsize,mesh_ok,ear_l,ear_r,span_x,span_y,blaze_score,blaze_fsize,mean
frontal,ir,ir/frame01.pgm,1,0.9350,129.0393,true,0.2478,0.2731,87.5395,84.9265,0.9392,145.6644,67.2
frontal,ir,ir/frame02.pgm,0,,,false,,,,,,,5.9
frontal,ir,ir/frame03.pgm,1,0.9363,128.8033,true,0.2203,0.2542,87.7669,85.4593,0.9414,143.2814,55.7
frontal,ir,ir/frame04.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame05.pgm,1,0.9354,128.8492,true,0.2310,0.2474,88.3421,86.7889,0.9400,143.7218,54.8
frontal,ir,ir/frame06.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame07.pgm,1,0.9376,128.9218,true,0.2126,0.2522,88.8950,86.9641,0.9398,143.4277,54.5
frontal,ir,ir/frame08.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame09.pgm,1,0.9379,129.0364,true,0.2405,0.2626,87.9691,85.5211,0.9371,144.5387,54.0
frontal,ir,ir/frame10.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame11.pgm,1,0.9351,129.0103,true,0.2350,0.2501,88.1158,85.4160,0.9416,143.7506,53.6
frontal,ir,ir/frame12.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame13.pgm,1,0.9358,129.2778,true,0.2481,0.2632,87.6962,85.3513,0.9390,142.9769,53.4
frontal,ir,ir/frame14.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame15.pgm,1,0.9348,129.2821,true,0.2319,0.2647,88.8604,87.0819,0.9440,143.5028,53.2
frontal,ir,ir/frame16.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame17.pgm,1,0.9368,128.5137,true,0.2171,0.2469,88.6799,87.1033,0.9433,144.3990,52.9
frontal,ir,ir/frame18.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame19.pgm,1,0.9362,128.1543,true,0.2086,0.2400,88.0543,86.1956,0.9397,143.7471,52.8
frontal,ir,ir/frame20.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame21.pgm,1,0.9365,128.7633,true,0.2451,0.2723,87.9463,85.2755,0.9392,143.7170,52.5
frontal,ir,ir/frame22.pgm,0,,,false,,,,,,,3.9
frontal,ir,ir/frame23.pgm,1,0.9356,128.2055,true,0.2339,0.2524,87.7358,85.4838,0.9410,143.2546,52.4
glasses-on,rgb,rgb/rgb00.ppm,1,0.9313,133.5416,true,0.3073,0.3197,96.1185,93.3295,0.9333,142.5208,117.1
glasses-on,rgb,rgb/rgb01.ppm,1,0.9320,139.3739,true,0.3054,0.3145,96.4417,93.8990,0.9254,146.3016,117.6
glasses-on,rgb,rgb/rgb02.ppm,1,0.9323,141.1165,true,0.3002,0.3164,97.1913,94.8489,0.9442,142.1917,117.6
glasses-on,rgb,rgb/rgb03.ppm,1,0.9358,138.5594,true,0.2978,0.3157,97.5233,94.0836,0.9407,144.1062,117.6
glasses-on,rgb,rgb/rgb04.ppm,1,0.9352,139.5776,true,0.2913,0.3106,97.5774,93.8801,0.9491,143.4096,117.7
glasses-on,rgb,rgb/rgb05.ppm,1,0.9372,138.3807,true,0.2996,0.3095,97.2292,94.3502,0.9414,147.6702,117.6
glasses-on,rgb,rgb/rgb06.ppm,1,0.9359,138.7462,true,0.2937,0.3095,98.2414,94.8226,0.9404,146.8887,117.6
glasses-on,rgb,rgb/rgb07.ppm,1,0.9375,137.9089,true,0.2933,0.3086,97.4308,94.5838,0.9378,148.1594,117.6
glasses-on,ir,ir/frame00.pgm,0,,,false,,,,,,,6.2
glasses-on,ir,ir/frame01.pgm,1,0.9220,128.3293,true,0.1596,0.2484,91.7772,84.9248,0.9527,133.4187,69.7
glasses-on,ir,ir/frame02.pgm,0,,,false,,,,,,,6.1
glasses-on,ir,ir/frame03.pgm,1,0.9196,126.6565,true,0.1676,0.2365,91.2180,84.5080,0.9544,130.5503,58.8
glasses-on,ir,ir/frame04.pgm,0,,,false,,,,,0.5731,114.8069,4.0
