camera,segment,kind,frame,ear_left,ear_right,blink_left,blink_right,jaw_open,brow_inner_up
zenbook,natural-blink,rgb,rgb/rgb17.ppm,0.2627,0.2774,0.1177,0.1259,0.0002,0.0007
zenbook,natural-blink,rgb,rgb/rgb18.ppm,0.2366,0.2615,0.1807,0.2338,0.0001,0.0019
zenbook,natural-blink,rgb,rgb/rgb19.ppm,0.2841,0.2952,0.0856,0.0840,0.0002,0.0014
zenbook,natural-blink,rgb,rgb/rgb20.ppm,0.2461,0.2685,0.1292,0.2142,0.0002,0.0012
zenbook,natural-blink,rgb,rgb/rgb21.ppm,0.1853,0.1402,0.5202,0.3978,0.0001,0.0058
zenbook,natural-blink,rgb,rgb/rgb22.ppm,0.2566,0.2696,0.1291,0.1536,0.0001,0.0015
zenbook,natural-blink,rgb,rgb/rgb23.ppm,0.2337,0.2274,0.2349,0.2226,0.0001,0.0037
zenbook,natural-blink,ir,ir/frame00.pgm,0.1786,0.2011,0.2784,0.3836,0.0018,0.0010
zenbook,natural-blink,ir,ir/frame01.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame02.pgm,0.1335,0.1664,0.3656,0.4889,0.0007,0.0007
zenbook,natural-blink,ir,ir/frame03.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame04.pgm,0.1384,0.1479,0.4238,0.4734,0.0008,0.0008
zenbook,natural-blink,ir,ir/frame05.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame06.pgm,0.1222,0.1437,0.4268,0.5008,0.0011,0.0011
zenbook,natural-blink,ir,ir/frame07.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame08.pgm,0.1263,0.1419,0.4281,0.4800,0.0017,0.0012
zenbook,natural-blink,ir,ir/frame09.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame10.pgm,0.0323,0.0276,0.7409,0.7217,0.0005,0.0212
zenbook,natural-blink,ir,ir/frame11.pgm,,,,,,
zenbook,natural-blink,ir,ir/frame12.pgm,0.0584,0.0658,0.6192,0.6729,0.0006,0.0029
zenbook,natural-blink,ir,ir/frame13.pgm,,,,,,
